,Col_3.OH10_000,Col_3.OH10_005,Col_3.OH10_010,Col_3.OH10_030,Col_3.OH10_090,Col_3.OH10_180,Col_3.OH10_0001,Col_3.OH10_0051,Col_3.OH10_0101,Col_3.OH10_0301,Col_3.OH10_0901,Col_3.OH10_1801,Col_3.OH10_0002,Col_3.OH10_0052,Col_3.OH10_0102,Col_3.OH10_0302,Col_3.OH10_0902,Col_3.OH10_1802,Col_3.OH10_0003,Col_3.OH10_0103,Col_3.OH10_0303,Col_3.OH10_0903,Col_3.OH10_1803
48,6.393590754,5.908082938,6.047372179,6.003887067,5.726847748,5.204006687,6.12249281,6.29710932,6.28785856,6.224558429,6.180016654,6.248042875,6.09356977,6.042632834,5.940171253,6.210600077,6.246106765,6.364750757,5.953243334,6.11146734,5.955837369,5.963579344,6.12249281
49,8.043984431,7.772331575,7.863651265,7.777373603,7.323830566,7.192182059,7.904703914,8.066207568,8.138272639,8.139440522,8.084562415,8.22684089,7.927685046,7.954372273,7.926963545,8.118802997,8.215547412,8.258163362,7.922623574,7.914252279,7.7164608,7.763871288,8.079308192
50,8.173575487,7.771910256,8.034955025,7.72001794,7.450660796,6.802394763,8.161660452,8.195609567,8.165932137,8.24196656,8.210396255,8.292798858,8.02486215,7.902117546,7.939515261,8.192016915,8.245121966,8.228977643,7.929486523,7.811163385,7.825644732,7.900636613,8.089175679
51,8.063692634,7.705262475,7.949797216,7.74543561,7.568379268,7.185387016,7.913155186,8.086410275,8.072467369,8.220133957,8.026170195,8.23004431,8.010359589,7.813187268,7.82284529,8.137688185,8.177515824,8.129764446,7.953318347,7.9490915,7.787796878,7.851661178,8.05610966
52,5.710427017,5.262690189,5.509388337,4.859812404,4.343805422,4.077537444,5.476463552,5.564520407,5.420534999,5.746203191,5.680172609,5.877735782,5.204006687,5.220355825,5.204006687,5.620400866,5.710427017,5.552959585,5.351858133,5.347107531,5.18178355,5.062595033,5.673323267
53,7.571988449,7.360739903,7.530479995,7.593374193,7.100027167,6.81563999,7.504391559,7.61332498,7.731492029,7.743269701,7.737180078,7.768110379,7.586803535,7.695757991,7.51479976,7.662467815,7.73280753,7.764720545,7.410951876,7.553286606,7.335633982,7.380879036,7.51479976
54,6.897704943,6.721425701,6.716594774,6.324358962,6.253828812,5.929589143,6.807934944,6.678342115,6.672032945,6.871091295,6.711740395,6.852242569,6.694562059,6.632001777,6.483107351,6.844815479,6.865891075,6.844815479,6.431331082,6.483107351,6.523562306,6.419994928,6.625392368
55,8.209852481,7.811163385,7.874358825,7.669961995,7.716015267,7.525100746,7.970049305,8.069342367,8.093156698,8.092851028,8.034631033,8.272826004,7.909489493,7.81197343,7.822044008,8.053251154,8.10832229,8.235360644,7.877397186,7.769800996,7.669495251,7.805067044,7.999007213
56,7.481555702,6.950814768,7.087573706,6.621405652,6.802394763,6.568077911,7.011213987,7.247792582,7.21964204,7.396335294,7.189167738,7.418780883,7.127693699,6.946013991,6.936342736,7.299121463,7.371489295,7.353081921,7.116394144,6.93439721,6.907755279,6.974478911,7.109879463
57,7.161622003,6.759255271,6.866933284,6.533788838,6.400257445,6.033086222,6.894670039,7.041411664,7.097548851,7.160845907,6.966967139,7.231287004,6.924612396,6.722629795,6.64509097,7.148345744,7.217443432,7.149131599,6.914730893,6.910750788,6.863803391,6.837332815,7.100027167
58,6.629363253,6.08221891,6.274762021,5.897153868,5.455321115,5.293304825,6.388561406,6.588926478,6.56667243,6.711740395,6.470799504,6.710523109,6.406879986,6.22059017,6.306275287,6.502790046,6.587550015,6.595780514,6.315358002,6.28785856,6.190315406,6.269096284,6.398594935
59,7.396335294,7.100027167,7.136483209,6.974478911,6.908754779,6.582025139,7.295056416,7.484930283,7.425357887,7.427144133,7.40367029,7.53796266,7.276556403,7.260522598,7.273092596,7.349230825,7.452402451,7.486613313,7.199678346,7.146772179,6.963189986,7.133295955,7.410951876
60,8.749415407,8.369388997,8.526351129,8.344029572,8.214735833,7.605392365,8.555451904,8.673512946,8.620471541,8.715388097,8.694167142,8.789964651,8.58485184,8.423761247,8.371936179,8.737131612,8.812694613,8.724532511,8.452334619,8.554488976,8.433376705,8.526351129,8.780172651
61,8.176391597,7.754910272,7.936302693,7.813591553,7.655390645,7.362010551,7.961370202,8.127404563,8.087332926,8.196161139,8.048788284,8.184513753,7.957527402,7.899524472,7.765993079,8.122668023,8.198914445,8.257385656,7.990915463,7.96241568,7.784057003,7.912056888,8.153061947
62,7.976595409,7.614805365,7.66293785,7.324489979,7.145984468,6.980075941,7.700295203,7.899153483,7.883823215,7.921898411,7.7419679,8.048468744,7.609366538,7.488852956,7.571473649,7.865571758,7.852439085,7.872836175,7.65396918,7.543802868,7.525100746,7.520776415,7.75319427
63,8.615226932,8.409830673,8.448057453,8.099250562,8.045267717,7.825644732,8.466531277,8.631235907,8.611957768,8.712101864,8.648221454,8.795884972,8.516192691,8.434897949,8.432288684,8.682877107,8.780172651,8.733110698,8.425297177,8.422882512,8.331827004,8.378620542,8.650849576
64,9.055789612,8.881141619,8.956737613,8.722742874,8.59396903,8.312871394,8.998013113,9.060098709,9.079092085,9.021235863,9.04629086,9.078635881,8.979668554,8.923324744,8.832295859,9.094255893,9.138199694,9.095826985,8.789355452,8.816705016,8.837826364,8.864464055,9.014203826
65,8.026823576,7.809135398,7.869401713,7.610357618,7.437795122,7.126087273,8.028455164,8.098034756,8.126813721,8.050065423,7.954372273,8.154500175,7.931644021,7.780303088,7.797702036,8.07589363,8.121183242,8.093156698,7.764720545,7.747164967,7.723562472,7.796880343,7.973844376
66,5.899897354,5.686975356,5.752572639,5.356586275,5.170483995,4.9698133,5.697093487,5.910796644,5.905361848,5.894402834,5.743003188,6.00635316,5.713732806,5.624017506,5.521460918,5.755742214,5.996452089,5.937536205,5.697093487,5.680172609,5.609471795,5.529429088,5.780743516
