"","Col_3-OH10_000","Col_3-OH10_005","Col_3-OH10_010","Col_3-OH10_030","Col_3-OH10_090","Col_3-OH10_180","Col_3-OH10_0001","Col_3-OH10_0051","Col_3-OH10_0101","Col_3-OH10_0301","Col_3-OH10_0901","Col_3-OH10_1801","Col_3-OH10_0002","Col_3-OH10_0052","Col_3-OH10_0102","Col_3-OH10_0302","Col_3-OH10_0902","Col_3-OH10_1802","Col_3-OH10_0003","Col_3-OH10_0103","Col_3-OH10_0303","Col_3-OH10_0903","Col_3-OH10_1803"
"V34",0.74469436614529,0.732241174855024,0.728960339624982,0.713306774936976,0.687792133864751,0.651750962447761,0.737561056161893,0.738279559303477,0.739599462611989,0.74781910024526,0.740817480506009,0.745471370835619,0.733019422905605,0.728874478833083,0.725224488302045,0.745794068916816,0.742826596502885,0.740647727829489,0.72382182472925,0.718276237885695,0.721396395683577,0.717959079797167,0.728399652533872
"V35",0.637690069940612,0.620126602880108,0.62319980993016,0.60244562270973,0.579066425627056,0.540235366843335,0.635123929304117,0.64125885144603,0.642826567487899,0.642438221820746,0.63324306177561,0.650046976645381,0.620535490868277,0.62319980993016,0.617478025601977,0.630375135440234,0.638212138625082,0.629786241114484,0.612922653818094,0.614722165004273,0.613828305938463,0.613527746277854,0.627253970719608
"V36",0.626884193860019,0.60401734780036,0.597887013172535,0.590765325265244,0.546040047321247,0.490987148615426,0.612158727290441,0.618605845879988,0.622146704898245,0.621613902378419,0.610918561735605,0.629786241114484,0.607224177324943,0.605723447200556,0.594216335316195,0.619577543687236,0.62423664219454,0.633467170491172,0.60401734780036,0.5934190499306,0.595590662516507,0.583788554747805,0.609973611540926
"V37",0.790003568601877,0.781126056214594,0.784999596005063,0.77285155636058,0.765961060810374,0.75038021461694,0.787094517457619,0.790219450148858,0.791169224033701,0.788267041487818,0.789527162455248,0.791146445148482,0.78616517727582,0.783293416628331,0.778597542427207,0.791925427690216,0.794106553611571,0.792003671712191,0.776357810425748,0.7777861794961,0.778884853394832,0.780265022542614,0.787912455652542
"V38",0.732561903922159,0.713393527655624,0.721396395683577,0.699795499668124,0.687469478033815,0.667729177375669,0.718539084476934,0.732301466349613,0.733668718941605,0.737651436406178,0.726184186722665,0.742598276492253,0.722913432279936,0.715099548734428,0.71856529706138,0.732160674513306,0.737397958720717,0.740613707400499,0.72382182472925,0.7197315313448,0.710178225138705,0.716152359902118,0.732039683913326
"V41",0.733707803380093,0.720419026630682,0.724152527442385,0.70779446540324,0.696429014601296,0.674862181363108,0.733805382339569,0.737939559245425,0.739634185192772,0.73509504591423,0.729344939222998,0.741256133516748,0.727964139705902,0.718617683074595,0.719705894537631,0.736629726724523,0.739303337359258,0.737651436406178,0.717640000934718,0.716535023121946,0.715043554504886,0.719654583294464,0.730523276304731
"V44",0.738546352977277,0.722307029440709,0.729003216040775,0.707826523576061,0.690616562941701,0.666618079950189,0.733138098605116,0.742972816894507,0.739738207599859,0.745208570539945,0.73877642467561,0.752453183782939,0.732301466349613,0.724081839960994,0.725362685294705,0.743167104473643,0.748009729050351,0.74481951829525,0.729557361706497,0.731348568834229,0.722258210641735,0.728051538742981,0.739460329220196
"V47",0.573763776093892,0.552837745953534,0.559414150577548,0.517797394274965,0.496503327706716,0.472115319261419,0.55385990034632,0.574803085321448,0.574285221461132,0.573238703772395,0.558462138142699,0.583788554747805,0.555534637840701,0.546412589348808,0.535699186406939,0.559728925726781,0.58286790749519,0.577340216397751,0.55385990034632,0.552148906421632,0.54491196371586,0.536542826049922,0.562202331580668
"V48",0.677391962382409,0.647580990182837,0.655817837027059,0.629667829093353,0.618605845879988,0.586262554620309,0.657907831872737,0.668756466021853,0.672816654937841,0.677336913044551,0.663296035238674,0.682297044762979,0.660149743575507,0.644733639122959,0.638626780447482,0.676449021789047,0.681328005912524,0.676504910307484,0.659411501974059,0.659113698247147,0.655581191132238,0.653573217452983,0.672994783367544
"V50",0.769831550418587,0.754324908862589,0.764412497446957,0.737343474453941,0.728356267402086,0.699832604417157,0.758476856169515,0.768646640511063,0.765507976624693,0.768966876957372,0.764691378282196,0.77683375053204,0.757634361312865,0.750044593759781,0.753076475665987,0.770923621238732,0.775333453315563,0.769702424561844,0.759810317580513,0.753076475665987,0.756764394595033,0.757622387279218,0.770107026542485
"V52",0.734135746920055,0.712195529440175,0.722404529954743,0.71464993324846,0.684820536218507,0.66029633010576,0.720545356011457,0.729832196557678,0.734885562235957,0.734790053418116,0.72725953685413,0.731040650806909,0.722865179324624,0.718355229801147,0.710116826507087,0.730105559271133,0.729747789468199,0.727832761293952,0.721767490329338,0.718407825291631,0.707762388232122,0.71237253279983,0.72384551642868
"V53",0.637374795997539,0.590765325265244,0.607880948680386,0.573501696175414,0.528621228807922,0.510691283570175,0.617620030791148,0.634134925979823,0.632338880003035,0.643882506437523,0.624493361474537,0.643787230596455,0.619162806579033,0.603148501424524,0.610605009919513,0.627130940206839,0.634024106037319,0.634686222109099,0.61138623853069,0.609015595492226,0.600475837682678,0.607388951257989,0.618465888204056
"V57",0.662028480093971,0.631652470342864,0.645108297931205,0.629430366317052,0.619023994744043,0.580991499900336,0.641752895673247,0.645108297931205,0.647670742260661,0.652916722763751,0.652834172479607,0.662241581324613,0.64397764013727,0.638936024806859,0.622146704898245,0.651750962447761,0.65446473613093,0.659633909724169,0.640057404377569,0.625762371375703,0.628351103808756,0.631190847972897,0.648117599133586
"V61",0.654705673887005,0.626884193860019,0.641060163766395,0.607388951257989,0.609814858446143,0.575573263191444,0.640158386775095,0.638212138625082,0.643404697964252,0.662383235665772,0.642923286539258,0.661671646877072,0.638316048690033,0.628230092505307,0.61818510422508,0.656444503080947,0.657295919899443,0.656131963822274,0.632792530090996,0.632566097324979,0.619439579990599,0.624107912316481,0.635882911166455
